Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty (GBP)
Withdrawal,2022-04-08 16:12:21.000,,,,,,,,,,100,GBP,,,,,,,
Market buy,2022-04-10 17:08:00.000,US70450Y1038,PYPL,PayPal,4.13171759,75.918548,USD,1.26413,,,249.59,GBP,,,,,1.46,GBP,
Interest on cash,2022-04-15 00:00:00.000,,,,,,,,,,1.61,GBP,,,,,,,
Market buy,2022-05-12 18:11:00.000,US5949181045,MSFT,Microsoft,2.95081184,351.61207523,USD,1.23765450,,,843.26,GBP,,,,,4.95,GBP,
Dividend (Dividends paid by us corporations),2022-05-13 09:05:00.000,US5949181045,MSFT,Microsoft,10.00246544,,USD,Not available,,,4.12,GBP,,USD,,,,,
Dividend (Dividends paid by us corporations),2022-06-08 02:30:00.000,US0378331005,AAPL,Apple,10.13713692,,USD,Not available,,,1.64,GBP,,USD,,,,,
Interest on cash,2022-07-15 00:00:00.000,,,,,,,,,,1.58,GBP,,,,,,,
Market buy,2022-07-09 15:31:00.000,US0231351067,AMZN,Amazon,48.31896981,95.695324309,USD,1.34273,,,3464.02,GBP,,,,,20.36,GBP,
Market sell,2022-09-20 16:53:00.000,US0231351067,AMZN,Amazon,48.31896981,137.31965437,USD,1.34273,,,4912.43,GBP,,,,,29.10,GBP,
Market buy,2022-09-28 14:38:00.000,US83088M1027,SWKS,Skyworks,3.97500146,170.81,USD,1.36610,,,499.95,GBP,,,,,2.94,GBP,
Market sell,2022-10-14 13:50:00.000,US5949181045,MSFT,Microsoft,1.32642,330.3792029,USD,1.37047,,,317.88,GBP,,,,,1.88,GBP,
Interest on cash,2022-10-15 00:00:00.000,,,,,,,,,,1.68,GBP,,,,,,,
Market sell,2022-12-16 20:43:00.000,US83088M1027,SWKS,Skyworks,8.3,158.489054664,USD,1.34273,,,973.95,GBP,,,,,5.74,GBP,
Deposit,2023-01-03 14:04:03.000,,,,,,,,,,2000,GBP,,,,,,,
Interest on cash,2023-01-15 00:00:00.000,,,,,,,,,,1.81,GBP,,,,,,,
Market sell,2023-03-03 14:32:00.000,US83088M1027,SWKS,Skyworks,2.1,200.100230509,USD,1.34273,,,311.13,GBP,,,,,1.82,GBP,
